zend_version,Environment
stream_context_get_options,Stream
stream_context_get_default,Stream
stream_context_set_default,Stream
stream_filter_prepend,Stream
stream_filter_append,Stream
stream_filter_remove,Stream
stream_socket_client,Stream
stream_socket_server,Stream
stream_socket_accept,Stream
stream_socket_get_name,Stream
stream_socket_recvfrom,Stream
stream_socket_sendto,Stream
stream_socket_enable_crypto,Stream
stream_socket_shutdown,Stream
stream_socket_pair,Stream
stream_copy_to_stream,Stream
stream_get_contents,Stream
stream_supports_lock,Stream
fgetcsv,File Operation
fputcsv,File Operation
flock,File Operation
get_meta_tags,Network
stream_set_read_buffer,Stream
stream_set_write_buffer,Stream
set_file_buffer,Stream
stream_set_chunk_size,Stream
stream_set_blocking,Stream
socket_set_blocking,Stream
stream_get_meta_data,Stream
stream_get_line,Stream
stream_wrapper_register,Stream
stream_register_wrapper,Stream
stream_wrapper_unregister,Stream
stream_wrapper_restore,Stream
stream_get_wrappers,Stream
stream_get_transports,Stream
stream_resolve_include_path,Stream
stream_is_local,Stream
get_headers,HTTP Header
stream_set_timeout,Network
socket_set_timeout,Network
socket_get_status,Network
realpath,File Operation
fnmatch,Execution
fsockopen,Network
pfsockopen,Network
pack,Network
unpack,Network
get_browser,Network
crypt,Cryptography
opendir,File Operation
closedir,File Operation
chdir,File Operation
getcwd,File Operation
rewinddir,File Operation
readdir,File Operation
dir,File Operation
scandir,File Operation
glob,File Operation
fileatime,File Operation
filectime,File Operation
filegroup,File Operation
fileinode,File Operation
filemtime,File Operation
fileowner,File Operation
fileperms,File Operation
filesize,File Operation
filetype,File Operation
file_exists,File Operation
is_writable,File Operation
is_writeable,File Operation
is_readable,File Operation
is_executable,File Operation
is_file,File Operation
is_dir,File Operation
is_link,File Operation
stat,File Operation
lstat,File Operation
chown,File Operation
chgrp,File Operation
lchown,File Operation
lchgrp,File Operation
chmod,File Operation
touch,File Operation
clearstatcache,File Operation
disk_total_space,File Operation
disk_free_space,File Operation
diskfreespace,File Operation
realpath_cache_size,File Operation
realpath_cache_get,File Operation
mail,Network
ezmlm_hash,Cryptography
openlog,Logging
syslog,Logging
closelog,Logging
lcg_value,Mathematics
metaphone,String
ob_start,Output Buffering
ob_flush,Output Buffering
ob_clean,Output Buffering
ob_end_flush,Output Buffering
ob_end_clean,Output Buffering
ob_get_flush,Output Buffering
ob_get_clean,Output Buffering
ob_get_length,Output Buffering
ob_get_level,Output Buffering
ob_get_status,Output Buffering
ob_get_contents,Output Buffering
ob_implicit_flush,Output Buffering
ob_list_handlers,Output Buffering
ksort,Iterable
krsort,Iterable
natsort,Iterable
natcasesort,Iterable
asort,Iterable
arsort,Iterable
sort,Iterable
rsort,Iterable
usort,Iterable
uasort,Iterable
uksort,Iterable
shuffle,Iterable
array_walk,Iterable
array_walk_recursive,Iterable
count,Iterable
end,Iterable
prev,Iterable
next,Iterable
reset,Iterable
current,Iterable
key,Iterable
min,Iterable
max,Iterable
in_array,Iterable
array_search,Iterable
extract,Iterable
compact,Iterable
array_fill,Iterable
array_fill_keys,Iterable
range,Iterable
array_multisort,Iterable
array_push,Iterable
array_pop,Iterable
array_shift,Iterable
array_unshift,Iterable
array_splice,Iterable
array_slice,Iterable
array_merge,Iterable
array_merge_recursive,Iterable
array_replace,Iterable
array_replace_recursive,Iterable
array_keys,Iterable
array_values,Iterable
array_count_values,Iterable
array_column,Iterable
array_reverse,Iterable
array_reduce,Iterable
array_pad,Iterable
array_flip,Iterable
array_change_key_case,Iterable
array_rand,Iterable
array_unique,Iterable
array_intersect,Iterable
